Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001
"0001A","Census Tract 0001A, St Louis City County, Missouri","140","2951000101000","29","510",1243
"0001B","Census Tract 0001B, St Louis City County, Missouri","140","2951000102000","29","510",1876
"0001C","Census Tract 0001C, St Louis City County, Missouri","140","2951000103000","29","510",6461
"0001D","Census Tract 0001D, St Louis City County, Missouri","140","2951000104000","29","510",5043
"0001E","Census Tract 0001E, St Louis City County, Missouri","140","2951000105000","29","510",5357
"0001F","Census Tract 0001F, St Louis City County, Missouri","140","2951000106000","29","510",2415
"0001G","Census Tract 0001G, St Louis City County, Missouri","140","2951000107000","29","510",5867
"0002A","Census Tract 0002A, St Louis City County, Missouri","140","2951000201000","29","510",3167
"0002B","Census Tract 0002B, St Louis City County, Missouri","140","2951000202000","29","510",7190
"0002C","Census Tract 0002C, St Louis City County, Missouri","140","2951000203000","29","510",1370
"0002D","Census Tract 0002D, St Louis City County, Missouri","140","2951000204000","29","510",3494
"0002E","Census Tract 0002E, St Louis City County, Missouri","140","2951000205000","29","510",2416
"0003A","Census Tract 0003A, St Louis City County, Missouri","140","2951000301000","29","510",3675
"0003B","Census Tract 0003B, St Louis City County, Missouri","140","2951000302000","29","510",5008
"0003C","Census Tract 0003C, St Louis City County, Missouri","140","2951000303000","29","510",1320
"0003D","Census Tract 0003D, St Louis City County, Missouri","140","2951000304000","29","510",3532
"0003E","Census Tract 0003E, St Louis City County, Missouri","140","2951000305000","29","510",1379
"0003F","Census Tract 0003F, St Louis City County, Missouri","140","2951000306000","29","510",1992
"0003G","Census Tract 0003G, St Louis City County, Missouri","140","2951000307000","29","510",4279
"0004A","Census Tract 0004A, St Louis City County, Missouri","140","2951000401000","29","510",4515
"0004B","Census Tract 0004B, St Louis City County, Missouri","140","2951000402000","29","510",6641
"0004C","Census Tract 0004C, St Louis City County, Missouri","140","2951000403000","29","510",3857
"0004D","Census Tract 0004D, St Louis City County, Missouri","140","2951000404000","29","510",693
"0005A","Census Tract 0005A, St Louis City County, Missouri","140","2951000501000","29","510",5225
"0005B","Census Tract 0005B, St Louis City County, Missouri","140","2951000502000","29","510",7174
"0005C","Census Tract 0005C, St Louis City County, Missouri","140","2951000503000","29","510",8497
"0005D","Census Tract 0005D, St Louis City County, Missouri","140","2951000504000","29","510",7242
"0005E","Census Tract 0005E, St Louis City County, Missouri","140","2951000505000","29","510",10448
"0006A","Census Tract 0006A, St Louis City County, Missouri","140","2951000601000","29","510",10415
"0006B","Census Tract 0006B, St Louis City County, Missouri","140","2951000602000","29","510",6133
"0006C","Census Tract 0006C, St Louis City County, Missouri","140","2951000603000","29","510",8636
"0006D","Census Tract 0006D, St Louis City County, Missouri","140","2951000604000","29","510",7237
"0006E","Census Tract 0006E, St Louis City County, Missouri","140","2951000605000","29","510",8245
"0006F","Census Tract 0006F, St Louis City County, Missouri","140","2951000606000","29","510",8295
"0006G","Census Tract 0006G, St Louis City County, Missouri","140","2951000607000","29","510",8633
"0007A","Census Tract 0007A, St Louis City County, Missouri","140","2951000701000","29","510",1107
"0007B","Census Tract 0007B, St Louis City County, Missouri","140","2951000702000","29","510",3818
"0007C","Census Tract 0007C, St Louis City County, Missouri","140","2951000703000","29","510",6371
"0007D","Census Tract 0007D, St Louis City County, Missouri","140","2951000704000","29","510",6711
"0007E","Census Tract 0007E, St Louis City County, Missouri","140","2951000705000","29","510",6134
"0007F","Census Tract 0007F, St Louis City County, Missouri","140","2951000706000","29","510",4332
"0007G","Census Tract 0007G, St Louis City County, Missouri","140","2951000707000","29","510",6785
"0008A","Census Tract 0008A, St Louis City County, Missouri","140","2951000801000","29","510",4529
"0008B","Census Tract 0008B, St Louis City County, Missouri","140","2951000802000","29","510",2798
"0008C","Census Tract 0008C, St Louis City County, Missouri","140","2951000803000","29","510",2895
"0008D","Census Tract 0008D, St Louis City County, Missouri","140","2951000804000","29","510",1024
"0008E","Census Tract 0008E, St Louis City County, Missouri","140","2951000805000","29","510",1625
"0008F","Census Tract 0008F, St Louis City County, Missouri","140","2951000806000","29","510",293
"0009A","Census Tract 0009A, St Louis City County, Missouri","140","2951000901000","29","510",6075
"0009B","Census Tract 0009B, St Louis City County, Missouri","140","2951000902000","29","510",837
"0009C","Census Tract 0009C, St Louis City County, Missouri","140","2951000903000","29","510",5500
